Date,W/L,W-L,Rank,Attendance,Streak,Prev_W/L,Prev_W-L,Prev_Rank,Prev_Streak,Prev_IsOvertime,Winning_Rate,Day,Month
"Friday, Jul 6",W,35-49,4.0,24236.0,2,W,34-49,4.0,1.0,0.0,0.40963855421686746,Friday,Jul
"Saturday, Jul 7",L,35-50,4.0,32986.0,-1,W,35-49,4.0,2.0,1.0,0.4166666666666667,Saturday,Jul
"Sunday, Jul 8",L,35-51,4.0,24653.0,-2,L,35-50,4.0,-1.0,0.0,0.4117647058823529,Sunday,Jul
"Monday, Jul 9 (2)",L,36-52,4.0,24139.0,-1,L,35-51,4.0,-2.0,0.0,0.4069767441860465,Monday,Jul
"Tuesday, Jul 10",L,36-53,4.0,22416.0,-2,L,36-52,4.0,-1.0,0.0,0.4090909090909091,Tuesday,Jul
"Wednesday, Jul 11",W,37-53,4.0,22137.0,1,L,36-53,4.0,-2.0,0.0,0.4044943820224719,Wednesday,Jul
"Thursday, Jul 12",L,37-54,4.0,28120.0,-1,W,37-53,4.0,1.0,1.0,0.4111111111111111,Thursday,Jul
"Friday, Jul 13",W,38-54,4.0,26558.0,1,L,37-54,4.0,-1.0,0.0,0.4065934065934066,Friday,Jul
"Saturday, Jul 14",W,39-54,4.0,30438.0,2,W,38-54,4.0,1.0,0.0,0.41304347826086957,Saturday,Jul
"Sunday, Jul 15",L,39-55,4.0,26572.0,-1,W,39-54,4.0,2.0,0.0,0.41935483870967744,Sunday,Jul
"Friday, Jul 20",W,40-55,4.0,47175.0,1,L,39-55,4.0,-1.0,0.0,0.4148936170212766,Friday,Jul
"Saturday, Jul 21",L,40-56,5.0,47102.0,-1,W,40-55,4.0,1.0,0.0,0.42105263157894735,Saturday,Jul
"Monday, Jul 23",L,40-57,5.0,21731.0,-2,L,40-56,5.0,-1.0,0.0,0.4166666666666667,Monday,Jul
"Tuesday, Jul 24",W,41-57,5.0,21925.0,1,L,40-57,5.0,-2.0,0.0,0.41237113402061853,Tuesday,Jul
"Wednesday, Jul 25",W,42-57,4.0,30963.0,2,W,41-57,5.0,1.0,0.0,0.41836734693877553,Wednesday,Jul
"Thursday, Jul 26",W,43-57,4.0,21981.0,3,W,42-57,4.0,2.0,0.0,0.42424242424242425,Thursday,Jul
"Friday, Jul 27",L,43-58,4.0,26356.0,-1,W,43-57,4.0,3.0,0.0,0.43,Friday,Jul
"Saturday, Jul 28",L,43-59,4.0,35900.0,-2,L,43-58,4.0,-1.0,1.0,0.42574257425742573,Saturday,Jul
"Sunday, Jul 29",W,44-59,4.0,23749.0,1,L,43-59,4.0,-2.0,0.0,0.4215686274509804,Sunday,Jul
"Tuesday, Jul 31",L,44-60,4.0,35029.0,-1,W,44-59,4.0,1.0,0.0,0.42718446601941745,Tuesday,Jul
"Wednesday, Aug 1",L,44-61,4.0,34319.0,-2,L,44-60,4.0,-1.0,0.0,0.4230769230769231,Wednesday,Aug
"Thursday, Aug 2",L,44-62,4.0,24525.0,-3,L,44-61,4.0,-2.0,0.0,0.41904761904761906,Thursday,Aug
"Friday, Aug 3",L,44-63,4.0,25101.0,-4,L,44-62,4.0,-3.0,0.0,0.41509433962264153,Friday,Aug
"Saturday, Aug 4",W,45-63,4.0,36946.0,1,L,44-63,4.0,-4.0,0.0,0.411214953271028,Saturday,Aug
"Sunday, Aug 5",L,45-64,4.0,27134.0,-1,W,45-63,4.0,1.0,0.0,0.4166666666666667,Sunday,Aug
"Monday, Aug 6",W,46-64,4.0,21644.0,1,L,45-64,4.0,-1.0,0.0,0.41284403669724773,Monday,Aug
"Tuesday, Aug 7",L,46-65,4.0,22207.0,-1,W,46-64,4.0,1.0,0.0,0.41818181818181815,Tuesday,Aug
"Wednesday, Aug 8",W,47-65,4.0,24287.0,1,L,46-65,4.0,-1.0,0.0,0.4144144144144144,Wednesday,Aug
"Friday, Aug 10",W,48-65,4.0,6993.0,2,W,47-65,4.0,1.0,0.0,0.41964285714285715,Friday,Aug
"Saturday, Aug 11",L,48-66,4.0,11478.0,-1,W,48-65,4.0,2.0,0.0,0.4247787610619469,Saturday,Aug
"Sunday, Aug 12",W,49-66,4.0,8964.0,1,L,48-66,4.0,-1.0,1.0,0.42105263157894735,Sunday,Aug
"Monday, Aug 13",W,50-66,4.0,47233.0,2,W,49-66,4.0,1.0,0.0,0.4260869565217391,Monday,Aug
"Tuesday, Aug 14",L,50-67,4.0,20527.0,-1,W,50-66,4.0,2.0,0.0,0.43103448275862066,Tuesday,Aug
"Wednesday, Aug 15",W,51-67,4.0,25045.0,1,L,50-67,4.0,-1.0,0.0,0.42735042735042733,Wednesday,Aug
"Thursday, Aug 16 (2)",L,52-68,4.0,33049.0,-1,W,51-67,4.0,1.0,0.0,0.4322033898305085,Thursday,Aug
"Friday, Aug 17",L,52-69,4.0,40460.0,-2,L,52-68,4.0,-1.0,0.0,0.43333333333333335,Friday,Aug
"Saturday, Aug 18",W,53-69,4.0,35158.0,1,L,52-69,4.0,-2.0,0.0,0.4297520661157025,Saturday,Aug
"Sunday, Aug 19",W,54-69,4.0,2429.0,2,W,53-69,4.0,1.0,0.0,0.4344262295081967,Sunday,Aug
"Monday, Aug 20",L,54-70,4.0,24811.0,-1,W,54-69,4.0,2.0,0.0,0.43902439024390244,Monday,Aug
"Tuesday, Aug 21",W,55-70,4.0,24999.0,1,L,54-70,4.0,-1.0,0.0,0.43548387096774194,Tuesday,Aug
"Wednesday, Aug 22",W,56-70,4.0,28157.0,2,W,55-70,4.0,1.0,0.0,0.44,Wednesday,Aug
"Thursday, Aug 23",L,56-71,4.0,25584.0,-1,W,56-70,4.0,2.0,0.0,0.4444444444444444,Thursday,Aug
"Friday, Aug 24",W,57-71,4.0,23763.0,1,L,56-71,4.0,-1.0,0.0,0.4409448818897638,Friday,Aug
"Saturday, Aug 25",W,58-71,4.0,29868.0,2,W,57-71,4.0,1.0,0.0,0.4453125,Saturday,Aug
"Sunday, Aug 26",L,58-72,4.0,23192.0,-1,W,58-71,4.0,2.0,0.0,0.4496124031007752,Sunday,Aug
"Monday, Aug 27",L,58-73,4.0,38935.0,-2,L,58-72,4.0,-1.0,0.0,0.4461538461538462,Monday,Aug
"Tuesday, Aug 28",L,58-74,4.0,37017.0,-3,L,58-73,4.0,-2.0,0.0,0.44274809160305345,Tuesday,Aug
"Wednesday, Aug 29",W,59-74,4.0,33386.0,1,L,58-74,4.0,-3.0,1.0,0.4393939393939394,Wednesday,Aug
"Friday, Aug 31",L,59-75,4.0,39057.0,-1,W,59-74,4.0,1.0,0.0,0.44360902255639095,Friday,Aug
"Saturday, Sep 1",W,60-75,4.0,38875.0,1,L,59-75,4.0,-1.0,0.0,0.44029850746268656,Saturday,Sep
"Sunday, Sep 2",W,61-75,4.0,39692.0,2,W,60-75,4.0,1.0,0.0,0.4444444444444444,Sunday,Sep
"Monday, Sep 3",W,62-75,4.0,45206.0,3,W,61-75,4.0,2.0,0.0,0.4485294117647059,Monday,Sep
"Tuesday, Sep 4",L,62-76,4.0,46651.0,-1,W,62-75,4.0,3.0,0.0,0.45255474452554745,Tuesday,Sep
"Wednesday, Sep 5",W,63-76,4.0,40317.0,1,L,62-76,4.0,-1.0,0.0,0.4492753623188406,Wednesday,Sep
"Friday, Sep 7",L,63-77,4.0,23379.0,-1,W,63-76,4.0,1.0,0.0,0.45323741007194246,Friday,Sep
"Saturday, Sep 8",W,64-77,4.0,25094.0,1,L,63-77,4.0,-1.0,0.0,0.45,Saturday,Sep
"Sunday, Sep 9",W,65-77,4.0,24153.0,2,W,64-77,4.0,1.0,0.0,0.45390070921985815,Sunday,Sep
"Tuesday, Sep 11",L,65-78,4.0,20849.0,-1,W,65-77,4.0,2.0,0.0,0.45774647887323944,Tuesday,Sep
"Wednesday, Sep 12",W,66-78,4.0,20423.0,1,L,65-78,4.0,-1.0,0.0,0.45454545454545453,Wednesday,Sep
"Thursday, Sep 13 (2)",W,68-78,4.0,22640.0,3,W,66-78,4.0,1.0,0.0,0.4583333333333333,Thursday,Sep
"Friday, Sep 14",W,69-78,4.0,37117.0,4,W,68-78,4.0,3.0,0.0,0.4657534246575342,Friday,Sep
"Saturday, Sep 15",L,69-79,4.0,36611.0,-1,W,69-78,4.0,4.0,0.0,0.46938775510204084,Saturday,Sep
"Sunday, Sep 16",L,69-80,4.0,36526.0,-2,L,69-79,4.0,-1.0,0.0,0.46621621621621623,Sunday,Sep
"Monday, Sep 17",W,70-80,4.0,21767.0,1,L,69-80,4.0,-2.0,0.0,0.46308724832214765,Monday,Sep
"Tuesday, Sep 18",L,70-81,4.0,18895.0,-1,W,70-80,4.0,1.0,0.0,0.4666666666666667,Tuesday,Sep
"Wednesday, Sep 19",L,70-82,4.0,19085.0,-2,L,70-81,4.0,-1.0,0.0,0.46357615894039733,Wednesday,Sep
"Thursday, Sep 20",W,71-82,4.0,28358.0,1,L,70-82,4.0,-2.0,0.0,0.4605263157894737,Thursday,Sep
"Friday, Sep 21",W,72-82,4.0,37895.0,2,W,71-82,4.0,1.0,0.0,0.46405228758169936,Friday,Sep
"Saturday, Sep 22",L,72-83,4.0,39372.0,-1,W,72-82,4.0,2.0,0.0,0.4675324675324675,Saturday,Sep
"Sunday, Sep 23",W,73-83,4.0,34218.0,1,L,72-83,4.0,-1.0,0.0,0.4645161290322581,Sunday,Sep
"Tuesday, Sep 25",L,73-84,4.0,21943.0,-1,W,73-83,4.0,1.0,0.0,0.46794871794871795,Tuesday,Sep
"Wednesday, Sep 26",W,74-84,4.0,23205.0,1,L,73-84,4.0,-1.0,0.0,0.46496815286624205,Wednesday,Sep
"Thursday, Sep 27",W,75-84,4.0,24824.0,2,W,74-84,4.0,1.0,0.0,0.46835443037974683,Thursday,Sep
"Friday, Sep 28",L,75-85,4.0,27045.0,-1,W,75-84,4.0,2.0,0.0,0.4716981132075472,Friday,Sep
"Saturday, Sep 29",W,76-85,4.0,43928.0,1,L,75-85,4.0,-1.0,0.0,0.46875,Saturday,Sep
"Sunday, Sep 30",W,77-85,4.0,28346.0,2,W,76-85,4.0,1.0,1.0,0.4720496894409938,Sunday,Sep
"Monday, Apr 5",L,0-1,3.0,10782.0,-1,,0-0,,,,,Monday,Apr
"Tuesday, Apr 6",W,1-1,3.0,10752.0,1,L,0-1,3.0,-1.0,0.0,0.0,Tuesday,Apr
"Wednesday, Apr 7",L,1-2,2.0,10807.0,-1,W,1-1,3.0,1.0,0.0,0.5,Wednesday,Apr
"Thursday, Apr 8",W,2-2,2.0,8492.0,1,L,1-2,2.0,-1.0,0.0,0.3333333333333333,Thursday,Apr
"Saturday, Apr 10",L,2-3,3.0,8419.0,-1,W,2-2,2.0,1.0,1.0,0.5,Saturday,Apr
"Sunday, Apr 11",W,3-3,2.0,8199.0,1,L,2-3,3.0,-1.0,0.0,0.4,Sunday,Apr
"Tuesday, Apr 13 (2)",W,5-3,1.0,7611.0,3,W,3-3,2.0,1.0,1.0,0.5,Tuesday,Apr
"Wednesday, Apr 14",W,6-3,1.0,7520.0,4,W,5-3,1.0,3.0,0.0,0.625,Wednesday,Apr
"Saturday, Apr 17 (2)",L,7-4,1.0,13906.0,-1,W,6-3,1.0,4.0,0.0,0.6666666666666666,Saturday,Apr
"Sunday, Apr 18",W,8-4,1.0,15082.0,1,L,7-4,1.0,-1.0,0.0,0.6363636363636364,Sunday,Apr
"Tuesday, Apr 20",L,8-5,1.0,10137.0,-1,W,8-4,1.0,1.0,0.0,0.6666666666666666,Tuesday,Apr
"Wednesday, Apr 21",L,8-6,1.0,10196.0,-2,L,8-5,1.0,-1.0,0.0,0.6153846153846154,Wednesday,Apr
"Thursday, Apr 22",L,8-7,1.0,10343.0,-3,L,8-6,1.0,-2.0,0.0,0.5714285714285714,Thursday,Apr
"Friday, Apr 23",W,9-7,1.0,8130.0,1,L,8-7,1.0,-3.0,1.0,0.5333333333333333,Friday,Apr
"Saturday, Apr 24",L,9-8,1.0,8051.0,-1,W,9-7,1.0,1.0,0.0,0.5625,Saturday,Apr
"Sunday, Apr 25",W,10-8,1.0,7784.0,1,L,9-8,1.0,-1.0,0.0,0.5294117647058824,Sunday,Apr
"Tuesday, Apr 27",L,10-9,1.0,7917.0,-1,W,10-8,1.0,1.0,0.0,0.5555555555555556,Tuesday,Apr
"Wednesday, Apr 28",L,10-10,1.0,8051.0,-2,L,10-9,1.0,-1.0,0.0,0.5263157894736842,Wednesday,Apr
"Friday, Apr 30",L,10-11,2.0,10914.0,-3,L,10-10,1.0,-2.0,0.0,0.5,Friday,Apr
"Saturday, May 1",W,11-11,1.0,10948.0,1,L,10-11,2.0,-3.0,0.0,0.47619047619047616,Saturday,May
"Sunday, May 2",W,12-11,1.0,10964.0,2,W,11-11,1.0,1.0,0.0,0.5,Sunday,May
"Monday, May 3",L,12-12,1.0,12686.0,-1,W,12-11,1.0,2.0,0.0,0.5217391304347826,Monday,May
"Wednesday, May 5 (2)",W,13-13,2.0,13187.0,1,L,12-12,1.0,-1.0,0.0,0.5,Wednesday,May
"Thursday, May 6",W,14-13,2.0,12939.0,2,W,13-13,2.0,1.0,0.0,0.5,Thursday,May
"Friday, May 7",W,15-13,2.0,7662.0,3,W,14-13,2.0,2.0,0.0,0.5185185185185185,Friday,May
"Saturday, May 8",W,16-13,1.0,7908.0,4,W,15-13,2.0,3.0,1.0,0.5357142857142857,Saturday,May
"Sunday, May 9",W,17-13,1.0,7880.0,5,W,16-13,1.0,4.0,0.0,0.5517241379310345,Sunday,May
"Tuesday, May 11",W,18-13,1.0,7930.0,6,W,17-13,1.0,5.0,0.0,0.5666666666666667,Tuesday,May
"Wednesday, May 12",W,19-13,1.0,8035.0,7,W,18-13,1.0,6.0,1.0,0.5806451612903226,Wednesday,May
"Friday, May 14",L,19-14,1.0,7123.0,-1,W,19-13,1.0,7.0,0.0,0.59375,Friday,May
"Saturday, May 15",L,19-15,1.0,7536.0,-2,L,19-14,1.0,-1.0,1.0,0.5757575757575758,Saturday,May
"Sunday, May 16",L,19-16,1.0,7355.0,-3,L,19-15,1.0,-2.0,0.0,0.5588235294117647,Sunday,May
"Monday, May 17",W,20-16,1.0,22691.0,1,L,19-16,1.0,-3.0,0.0,0.5428571428571428,Monday,May
"Tuesday, May 18",W,21-16,1.0,21667.0,2,W,20-16,1.0,1.0,0.0,0.5555555555555556,Tuesday,May
"Wednesday, May 19",L,21-17,1.0,22619.0,-1,W,21-16,1.0,2.0,0.0,0.5675675675675675,Wednesday,May
"Friday, May 21",W,22-17,1.0,7282.0,1,L,21-17,1.0,-1.0,1.0,0.5526315789473685,Friday,May
"Saturday, May 22",L,22-18,1.0,7513.0,-1,W,22-17,1.0,1.0,0.0,0.5641025641025641,Saturday,May
"Sunday, May 23",L,22-19,1.0,7945.0,-2,L,22-18,1.0,-1.0,1.0,0.55,Sunday,May
"Monday, May 24",L,22-20,1.0,8438.0,-3,L,22-19,1.0,-2.0,0.0,0.5365853658536586,Monday,May
"Tuesday, May 25",W,23-20,1.0,9190.0,1,L,22-20,1.0,-3.0,0.0,0.5238095238095238,Tuesday,May
"Thursday, May 27 (2)",W,25-20,1.0,9569.0,3,W,23-20,1.0,1.0,0.0,0.5348837209302325,Thursday,May
"Saturday, May 29",W,26-20,1.0,10251.0,4,W,25-20,1.0,3.0,0.0,0.5555555555555556,Saturday,May
"Monday, May 31",W,27-20,1.0,11309.0,5,W,26-20,1.0,4.0,0.0,0.5652173913043478,Monday,May
"Tuesday, Jun 1",L,27-21,1.0,9590.0,-1,W,27-20,1.0,5.0,0.0,0.574468085106383,Tuesday,Jun
"Wednesday, Jun 2",W,28-21,1.0,9810.0,1,L,27-21,1.0,-1.0,1.0,0.5625,Wednesday,Jun
"Thursday, Jun 3",L,28-22,1.0,15250.0,-1,W,28-21,1.0,1.0,0.0,0.5714285714285714,Thursday,Jun
"Friday, Jun 4",L,28-23,1.0,16268.0,-2,L,28-22,1.0,-1.0,0.0,0.56,Friday,Jun
"Saturday, Jun 5",W,29-23,1.0,16644.0,1,L,28-23,1.0,-2.0,0.0,0.5490196078431373,Saturday,Jun
"Sunday, Jun 6",W,30-23,1.0,16120.0,2,W,29-23,1.0,1.0,0.0,0.5576923076923077,Sunday,Jun
"Tuesday, Jun 8",L,30-24,1.0,9431.0,-1,W,30-23,1.0,2.0,0.0,0.5660377358490566,Tuesday,Jun
"Wednesday, Jun 9",W,31-24,1.0,9584.0,1,L,30-24,1.0,-1.0,0.0,0.5555555555555556,Wednesday,Jun
"Friday, Jun 11",W,32-24,1.0,26637.0,2,W,31-24,1.0,1.0,0.0,0.5636363636363636,Friday,Jun
"Saturday, Jun 12",W,33-24,1.0,25463.0,3,W,32-24,1.0,2.0,0.0,0.5714285714285714,Saturday,Jun
"Sunday, Jun 13",L,33-25,1.0,19581.0,-1,W,33-24,1.0,3.0,0.0,0.5789473684210527,Sunday,Jun
"Monday, Jun 14",W,34-25,1.0,16383.0,1,L,33-25,1.0,-1.0,0.0,0.5689655172413793,Monday,Jun
"Tuesday, Jun 15",W,35-25,1.0,17804.0,2,W,34-25,1.0,1.0,0.0,0.576271186440678,Tuesday,Jun
"Wednesday, Jun 16",W,36-25,1.0,23545.0,3,W,35-25,1.0,2.0,0.0,0.5833333333333334,Wednesday,Jun
"Thursday, Jun 17",L,36-26,1.0,16826.0,-1,W,36-25,1.0,3.0,0.0,0.5901639344262295,Thursday,Jun
"Friday, Jun 18",L,36-27,1.0,26246.0,-2,L,36-26,1.0,-1.0,0.0,0.5806451612903226,Friday,Jun
"Saturday, Jun 19 (1)",W,37-27,1.0,14434.0,1,L,36-27,1.0,-2.0,1.0,0.5714285714285714,Saturday,Jun
"Saturday, Jun 19 (2)",L,37-28,1.0,22111.0,-1,W,37-27,1.0,1.0,0.0,0.578125,Saturday,Jun
"Sunday, Jun 20",L,37-29,1.0,30371.0,-2,L,37-28,1.0,-1.0,0.0,0.5692307692307692,Sunday,Jun
"Monday, Jun 21 (2)",L,38-30,1.0,18698.0,-1,L,37-29,1.0,-2.0,0.0,0.5606060606060606,Monday,Jun
"Tuesday, Jun 22",L,38-31,1.0,17063.0,-2,L,38-30,1.0,-1.0,0.0,0.5588235294117647,Tuesday,Jun
"Wednesday, Jun 23",W,39-31,1.0,15645.0,1,L,38-31,1.0,-2.0,0.0,0.5507246376811594,Wednesday,Jun
"Friday, Jun 25 (2)",L,40-32,1.0,29012.0,-1,W,39-31,1.0,1.0,0.0,0.5571428571428572,Friday,Jun
"Saturday, Jun 26",W,41-32,1.0,29205.0,1,L,40-32,1.0,-1.0,0.0,0.5555555555555556,Saturday,Jun
"Sunday, Jun 27",L,41-33,1.0,25488.0,-1,W,41-32,1.0,1.0,1.0,0.5616438356164384,Sunday,Jun
"Monday, Jun 28",L,41-34,1.0,19150.0,-2,L,41-33,1.0,-1.0,0.0,0.5540540540540541,Monday,Jun
"Tuesday, Jun 29",W,42-34,1.0,29274.0,1,L,41-34,1.0,-2.0,0.0,0.5466666666666666,Tuesday,Jun
"Wednesday, Jun 30",L,42-35,1.0,28405.0,-1,W,42-34,1.0,1.0,0.0,0.5526315789473685,Wednesday,Jun
"Thursday, Jul 1",L,42-36,1.0,35777.0,-2,L,42-35,1.0,-1.0,0.0,0.5454545454545454,Thursday,Jul
"Saturday, Jul 3",W,43-36,1.0,40047.0,1,L,42-36,1.0,-2.0,1.0,0.5384615384615384,Saturday,Jul
"Sunday, Jul 4 (1)",W,44-36,1.0,42714.0,2,W,43-36,1.0,1.0,0.0,0.5443037974683544,Sunday,Jul
"Sunday, Jul 4 (2)",L,44-37,1.0,42107.0,-1,W,44-36,1.0,2.0,0.0,0.55,Sunday,Jul
"Monday, Jul 5",W,45-37,1.0,15145.0,1,L,44-37,1.0,-1.0,0.0,0.5432098765432098,Monday,Jul
"Wednesday, Jul 7 (1)",W,46-37,1.0,20953.0,2,W,45-37,1.0,1.0,0.0,0.5487804878048781,Wednesday,Jul
"Wednesday, Jul 7 (2)",L,46-38,1.0,13218.0,-1,W,46-37,1.0,2.0,1.0,0.5542168674698795,Wednesday,Jul
"Friday, Jul 9",W,47-38,1.0,20350.0,1,L,46-38,1.0,-1.0,0.0,0.5476190476190477,Friday,Jul
"Saturday, Jul 10 (2)",W,48-39,1.0,31924.0,1,W,47-38,1.0,1.0,0.0,0.5529411764705883,Saturday,Jul
"Sunday, Jul 11",L,48-40,1.0,26420.0,-1,W,48-39,1.0,1.0,0.0,0.5517241379310345,Sunday,Jul
"Friday, Jul 16",L,48-41,1.0,18119.0,-2,L,48-40,1.0,-1.0,0.0,0.5454545454545454,Friday,Jul
"Saturday, Jul 17",L,48-42,1.0,27222.0,-3,L,48-41,1.0,-2.0,0.0,0.5393258426966292,Saturday,Jul
"Sunday, Jul 18",W,49-42,1.0,17837.0,1,L,48-42,1.0,-3.0,1.0,0.5333333333333333,Sunday,Jul
"Monday, Jul 19",W,50-42,1.0,17080.0,2,W,49-42,1.0,1.0,0.0,0.5384615384615384,Monday,Jul
"Tuesday, Jul 20",L,50-43,1.0,19096.0,-1,W,50-42,1.0,2.0,0.0,0.5434782608695652,Tuesday,Jul
"Wednesday, Jul 21",W,51-43,1.0,19896.0,1,L,50-43,1.0,-1.0,0.0,0.5376344086021505,Wednesday,Jul
"Friday, Jul 23",W,52-43,1.0,28126.0,2,W,51-43,1.0,1.0,0.0,0.5425531914893617,Friday,Jul
"Saturday, Jul 24",L,52-44,1.0,29269.0,-1,W,52-43,1.0,2.0,0.0,0.5473684210526316,Saturday,Jul
"Sunday, Jul 25",W,53-44,1.0,23675.0,1,L,52-44,1.0,-1.0,0.0,0.5416666666666666,Sunday,Jul
"Monday, Jul 26 (2)",W,54-45,1.0,24384.0,1,W,53-44,1.0,1.0,0.0,0.5463917525773195,Monday,Jul
"Tuesday, Jul 27",L,54-46,1.0,24000.0,-1,W,54-45,1.0,1.0,0.0,0.5454545454545454,Tuesday,Jul
"Wednesday, Jul 28",W,55-46,1.0,25787.0,1,L,54-46,1.0,-1.0,0.0,0.54,Wednesday,Jul
"Thursday, Jul 29",L,55-47,1.0,26080.0,-1,W,55-46,1.0,1.0,0.0,0.5445544554455446,Thursday,Jul
"Friday, Jul 30",L,55-48,1.0,31787.0,-2,L,55-47,1.0,-1.0,0.0,0.5392156862745098,Friday,Jul
"Saturday, Jul 31",W,56-48,1.0,26477.0,1,L,55-48,1.0,-2.0,0.0,0.5339805825242718,Saturday,Jul
"Sunday, Aug 1",L,56-49,1.0,23443.0,-1,W,56-48,1.0,1.0,1.0,0.5384615384615384,Sunday,Aug
"Monday, Aug 2",L,56-50,1.0,8771.0,-2,L,56-49,1.0,-1.0,0.0,0.5333333333333333,Monday,Aug
"Tuesday, Aug 3",L,56-51,1.0,7682.0,-3,L,56-50,1.0,-2.0,0.0,0.5283018867924528,Tuesday,Aug
"Wednesday, Aug 4",W,57-51,1.0,9760.0,1,L,56-51,1.0,-3.0,0.0,0.5233644859813084,Wednesday,Aug
"Thursday, Aug 5",L,57-52,1.0,9745.0,-1,W,57-51,1.0,1.0,0.0,0.5277777777777778,Thursday,Aug
"Friday, Aug 6",L,57-53,1.0,30106.0,-2,L,57-52,1.0,-1.0,0.0,0.5229357798165137,Friday,Aug
"Saturday, Aug 7",L,57-54,2.0,37057.0,-3,L,57-53,1.0,-2.0,0.0,0.5181818181818182,Saturday,Aug
"Sunday, Aug 8",L,57-55,2.0,39186.0,-4,L,57-54,2.0,-3.0,0.0,0.5135135135135135,Sunday,Aug
"Tuesday, Aug 10",W,58-55,2.0,27261.0,1,L,57-55,2.0,-4.0,0.0,0.5089285714285714,Tuesday,Aug
"Thursday, Aug 12 (2)",W,60-55,1.0,25870.0,3,W,58-55,2.0,1.0,0.0,0.5132743362831859,Thursday,Aug
"Friday, Aug 13",L,60-56,1.0,38395.0,-1,W,60-55,1.0,3.0,1.0,0.5217391304347826,Friday,Aug
"Saturday, Aug 14",L,60-57,3.0,38669.0,-2,L,60-56,1.0,-1.0,0.0,0.5172413793103449,Saturday,Aug
"Sunday, Aug 15",L,60-58,3.0,31205.0,-3,L,60-57,3.0,-2.0,0.0,0.5128205128205128,Sunday,Aug
"Monday, Aug 16",L,60-59,3.0,23511.0,-4,L,60-58,3.0,-3.0,0.0,0.5084745762711864,Monday,Aug
"Tuesday, Aug 17",L,60-60,3.0,23610.0,-5,L,60-59,3.0,-4.0,0.0,0.5042016806722689,Tuesday,Aug
"Wednesday, Aug 18",W,61-60,3.0,25360.0,1,L,60-60,3.0,-5.0,0.0,0.5,Wednesday,Aug
"Thursday, Aug 19",L,61-61,3.0,42133.0,-1,W,61-60,3.0,1.0,0.0,0.5041322314049587,Thursday,Aug
"Friday, Aug 20",L,61-62,3.0,48117.0,-2,L,61-61,3.0,-1.0,0.0,0.5,Friday,Aug
"Saturday, Aug 21",L,61-63,3.0,44783.0,-3,L,61-62,3.0,-2.0,0.0,0.4959349593495935,Saturday,Aug
"Sunday, Aug 22",W,62-63,3.0,52749.0,1,L,61-63,3.0,-3.0,0.0,0.49193548387096775,Sunday,Aug
"Tuesday, Aug 24",L,62-64,3.0,28558.0,-1,W,62-63,3.0,1.0,0.0,0.496,Tuesday,Aug
"Wednesday, Aug 25",L,62-65,3.0,24384.0,-2,L,62-64,3.0,-1.0,0.0,0.49206349206349204,Wednesday,Aug
"Thursday, Aug 26",L,62-66,3.0,25000.0,-3,L,62-65,3.0,-2.0,0.0,0.4881889763779528,Thursday,Aug
"Friday, Aug 27",L,62-67,3.0,20274.0,-4,L,62-66,3.0,-3.0,0.0,0.484375,Friday,Aug
"Saturday, Aug 28",W,63-67,3.0,27870.0,1,L,62-67,3.0,-4.0,0.0,0.4806201550387597,Saturday,Aug
"Sunday, Aug 29",W,64-67,3.0,24247.0,2,W,63-67,3.0,1.0,0.0,0.4846153846153846,Sunday,Aug
"Tuesday, Aug 31",W,65-67,3.0,18101.0,3,W,64-67,3.0,2.0,0.0,0.48854961832061067,Tuesday,Aug
"Thursday, Sep 2",W,66-67,3.0,23737.0,4,W,65-67,3.0,3.0,0.0,0.49242424242424243,Thursday,Sep
"Friday, Sep 3",W,67-67,3.0,26779.0,5,W,66-67,3.0,4.0,0.0,0.49624060150375937,Friday,Sep
"Saturday, Sep 4 (1)",W,68-67,3.0,13916.0,6,W,67-67,3.0,5.0,0.0,0.5,Saturday,Sep
"Saturday, Sep 4 (2)",L,68-68,3.0,22420.0,-1,W,68-67,3.0,6.0,0.0,0.5037037037037037,Saturday,Sep
"Sunday, Sep 5",W,69-68,3.0,22162.0,1,L,68-68,3.0,-1.0,0.0,0.5,Sunday,Sep
"Monday, Sep 6",L,69-69,3.0,17623.0,-1,W,69-68,3.0,1.0,0.0,0.5036496350364964,Monday,Sep
"Tuesday, Sep 7",W,70-69,3.0,5848.0,1,L,69-69,3.0,-1.0,1.0,0.5,Tuesday,Sep
"Wednesday, Sep 8",L,70-70,3.0,6378.0,-1,W,70-69,3.0,1.0,0.0,0.5035971223021583,Wednesday,Sep
"Thursday, Sep 9",L,70-71,3.0,8075.0,-2,L,70-70,3.0,-1.0,1.0,0.5,Thursday,Sep
"Friday, Sep 10",W,71-71,3.0,37288.0,1,L,70-71,3.0,-2.0,0.0,0.49645390070921985,Friday,Sep
"Saturday, Sep 11",L,71-72,3.0,43144.0,-1,W,71-71,3.0,1.0,0.0,0.5,Saturday,Sep
"Sunday, Sep 12",W,72-72,3.0,33805.0,1,L,71-72,3.0,-1.0,0.0,0.4965034965034965,Sunday,Sep
"Monday, Sep 13",L,72-73,3.0,19057.0,-1,W,72-72,3.0,1.0,0.0,0.5,Monday,Sep
"Tuesday, Sep 14",L,72-74,3.0,21825.0,-2,L,72-73,3.0,-1.0,0.0,0.496551724137931,Tuesday,Sep
